galaxy,Hbeta,Hbeta note,[OIII]5007,[OIII]5007 note,[OI]6300,[OI]6300 note,[NII]6583,[NII]6583 note,log Halpha flux,log Halpha flux note,log Halpha lum,log Halpha lum note,Halpha width,Halpha width note,[NII]6583 FWHM,[NII]6583 FWHM note
NGC 3628,0.21,  ,0.37, ,0.12, ,0.95, ,-14.98,  ,36.87,  ,3.18, ,82,
NGC 3631,0.3,b ,0.09,c,0.059,u,0.43, ,-14.17,  ,38.58,  ,2.69, ,92,
NGC 3642,0.31,  ,0.41, ,0.18, ,0.71, ,-13.61,L ,39.35,L ,7.2, ,167,
NGC 3646,0.26,  ,0.54, ,0.065,u,0.8, ,-14.17,  ,39.42,  ,2.69, ,   ,
NGC 3652,0.25,  ,0.15, ,0.031, ,0.3, ,-13.79,  ,39.33,  ,31.53, ,97,
NGC 3655,0.15,  ,0.56, ,0.059, ,0.72, ,-13.46,L ,39.47,L ,9.68, ,205,
NGC 3665,0.19,b ,0.1,b,0.061,u,0.61,b,-13.82,b ,39.28,b ,3.42,b,396,b
NGC 3666,0.2,  ,0.05, ,0.03,c,0.42, ,-14.33,  ,38.21,  ,5.49, ,118,
NGC 3675,0.31,c ,0.4, ,0.12,b,1.49, ,-14.11,  ,38.19,  ,1.21, ,196,
NGC 3681,0.45,b ,0.56, ,0.14,c,0.77, ,-14.56,  ,38.29,  ,1.38, ,178,
NGC 3684,0.27,  ,0.09, ,0.03,c,0.33, ,-14.15,  ,38.67,  ,8.78, ,86,
NGC 3686,0.29,  ,0.04, ,0.005, ,0.31, ,-13.02,  ,39.8,  ,59.54, ,96,
NGC 3690,0.17,  ,0.23, ,0.031, ,0.4, ,-12.67,  ,40.62,  ,64.49, ,181,
NGC 3692,0.26,  ,0.67, ,0.12, ,1.15, ,-14.8,L ,38.23,L ,2.06, ,89,
NGC 3705,0.19,  ,0.21, ,0.079,b,0.88, ,-13.88,  ,38.66,  ,3.96, ,190,
NGC 3718,0.23,c ,0.7, ,0.66, ,0.86, ,-14.08,L ,38.46,L ,3.27, ,371,
NGC 3726,0.29,  ,0.04, ,0.01, ,0.31, ,-13.34,  ,39.2,  ,22.92, ,63,
NGC 3729,0.19,  ,0.2, ,0.046, ,0.51, ,-13.03,  ,39.51,  ,76.74, ,204,
NGC 3735,0.16,  ,1.13, ,0.053, ,0.85, ,-13.48,  ,39.82,  ,12.05, ,274,
NGC 3738,0.38,  ,1.14, ,0.03, ,0.1, ,-13.63,  ,37.72,  ,53.45, ,107,
NGC 3756,0.2,  ,0.09,b,0.053,u,0.32, ,-14.73,  ,38.09,  ,4.25, ,86,
NGC 3780,1.69,u ,1.45,c,0.35,c,3.17,c,-15.54,c ,37.68,c ,0.3,c,179,
NGC 3810,0.31,  ,0.06,b,0.029,c,0.64, ,-14.26,  ,38.27,  ,2.54, ,84,
NGC 3813,0.18,  ,0.05, ,0.029, ,0.36, ,-14.03,  ,38.89,  ,8.6, ,79,
NGC 3877,0.18,  ,0.02, ,0.01, ,0.35, ,-12.98,  ,39.56,  ,44.53, ,129,
NGC 3884,0.35,  ,0.79, ,0.58, ,2.07, ,-13.7,  ,40.3,  ,6.49, ,535,
NGC 3893,0.22,  ,0.05, ,0.022,b,0.37, ,-13.8,  ,38.74,  ,7.16, ,112,
NGC 3898,0.35,b ,0.73, ,0.091,c,1.48, ,-13.91,L ,38.85,L ,1.46, ,232,
NGC 3900,1.1,u ,1.8,c,0.58,u,1.48,c,-14.92,c ,38.09,c ,0.17,c,   ,
NGC 3917,0.41,  ,0.41, ,0.13,u,0.73, ,-15.25,  ,37.29,  ,2, ,120,u
NGC 3938,0.35,c ,0.62,u,0.14,u,0.53,c,-14.84,b ,37.7,b ,1.09,b,88,c
NGC 3941,0.2,c ,0.7, ,0.13,u,1.56, ,-13.96,  ,38.67,  ,0.78, ,273,
NGC 3945,0.29,  ,0.65, ,0.23,b,2.61, ,-14.21,  ,38.57,  ,0.78, ,255,
NGC 3949,0.28,  ,0.06, ,0.05,c,0.4, ,-13.88,L ,38.66,L ,4.78, ,135,u
NGC 3953,0.21,  ,0.33, ,0.12,b,1.21, ,-14.16,  ,38.38,  ,1.85, ,153,
NGC 3963,0.19,  ,0.03,b,0.015,b,0.32, ,-13.73,  ,39.61,  ,19.31, ,100,
NGC 3976,0.23,b ,0.81, ,0.1,b,1.96, ,-14.02,  ,39.21,  ,1.3, ,279,
NGC 3982,0.2,  ,4.22, ,0.32, ,0.87, ,-13.33,  ,39.21,  ,18.03, ,227,
NGC 3992,0.48,  ,0.95, ,0.13,c,1.73, ,-14.12,L ,38.42,L ,1.36, ,264,
NGC 3998,0.21,b ,0.42, ,0.53, ,1.08, ,-12.75,  ,40,  ,9.11, ,401,
NGC 4013,0.49,u ,0.35,c,0.11,b,1.13, ,-14.71,  ,37.82,  ,1.39, ,133,
NGC 4036,0.35,  ,0.65, ,0.46, ,2.25, ,-13.51,  ,39.35,  ,4.16, ,359,
NGC 4041,0.16,  ,0.06, ,0.041, ,0.64, ,-13.33,  ,39.46,  ,21.99, ,129,
NGC 4051,0.3,  ,1.36, ,0.14, ,0.64, ,-12.49,L ,40.04,L ,20.27, ,228,
NGC 4062,0.19,  ,0.08, ,0.036,c,0.45, ,-14.44,L ,37.62,L ,5.15, ,97,
NGC 4064,0.22,  ,0.02, ,0.005, ,0.27, ,-12.99,  ,39.54,  ,55.73, ,114,
NGC 4088,0.14,  ,0.03, ,0.011,b,0.32, ,-13.54,  ,39,  ,29.4, ,171,
NGC 4096,0.24,  ,0.01,b,0.01,b,0.28, ,-13.82,  ,38.15,  ,14.27, ,74,
NGC 4100,0.19,  ,0.04, ,0.012, ,0.35, ,-13.19,  ,39.35,  ,40.43, ,113,
NGC 4102,0.12,  ,0.12, ,0.041, ,0.92, ,-12.52,  ,40.02,  ,35, ,220,
NGC 4111,0.21,  ,0.18, ,0.19,b,1.31, ,-13.14,  ,39.4,  ,2.31, ,291,
NGC 4123,0.18,  ,0.06, ,0.018, ,0.53, ,-12.53,  ,40.35,  ,116.97, ,155,
NGC 4124,0.21,  ,0.06, ,0.026,b,0.33, ,-13.83,  ,38.7,  ,6.1, ,109,
NGC 4125,0.4,  ,0.57, ,0.14,b,2.07, ,-13.89,L ,38.96,L ,1.34, ,301,
NGC 4136,0.29,  ,0.19, ,0.017,b,0.33, ,-13.94,  ,38.12,  ,16.78, ,137,u
NGC 4138,0.27,  ,1.62, ,0.33, ,1.47, ,-14,  ,38.54,  ,2.36, ,211,
NGC 4143,0.62,  ,1.32, ,0.71, ,1.75, ,-13.85,  ,38.69,  ,1.53, ,307,
NGC 4144,0.17,  ,0.33, ,0.029,u,0.14, ,-14.56,  ,36.74,  ,69, ,127,u
NGC 4145,0.34,c ,0.37,c,0.13,c,0.61,b,-14.99,b ,37.72,b ,1.75,b,   ,
NGC 4150,0.4,  ,0.35, ,0.13, ,0.98, ,-13.87,  ,38.18,  ,2.11, ,245,
NGC 4151,0.29,  ,3.4, ,0.22, ,0.68, ,-11.48,L ,41.22,L ,48.89, ,331,
NGC 4152,0.22,  ,0.05, ,0.009, ,0.49, ,-13.22,L ,39.94,L ,33.38, ,138,
NGC 4157,0.09,  ,0.02,b,0.017,b,0.34, ,-13.88,  ,38.66,  ,6.21, ,99,
NGC 4162,0.23,  ,0.16, ,0.026,b,0.48, ,-14.01,L ,39.24,L ,5.28, ,127,
NGC 4168,0.54,c ,2.04,b,0.27,u,2.85, ,-14.93,  ,37.6,  ,0.3, ,305,
NGC 4169,0.04,c ,0.8, ,0.35,b,2.75, ,-14.4,  ,39.08,  ,1.02, ,386,
NGC 4178,0.32,  ,0.11, ,0.022,b,0.32, ,-14.3,  ,38.23,  ,17.31, ,146,u
NGC 4183,0.21,  ,0.19, ,0.027, ,0.24, ,-13.92,  ,38.62,  ,30.85, ,68,
NGC 4192,0.07,b ,0.14,b,0.14, ,1.41, ,-13.56,  ,38.97,  ,4.64, ,266,
NGC 4203,0.97,b ,1.51, ,1.22,b,1.84, ,-13.7,  ,38.35,  ,1.57, ,346,
NGC 4212,0.21,  ,0.03, ,0.017, ,0.41, ,-13.14,  ,39.39,  ,46.1, ,131,
NGC 4214,0.36,  ,1.32, ,0.007, ,0.07, ,-12.58,  ,38.58,  ,125.92, ,102,
NGC 4216,0.23,  ,0.47, ,0.12,b,2.04, ,-14,  ,38.53,  ,0.86, ,344,
NGC 4217,0.18,  ,0.1, ,0.049,b,0.46, ,-14.61,  ,37.93,  ,6.31, ,139,u
NGC 4220,0.11,b ,0.29, ,0.12,b,1.05, ,-14.28,  ,38.26,  ,2.63, ,184,
NGC 4235,0.13,  ,1.64, ,0.85, ,2.57, ,-13.92,  ,39.25,  ,3.14, ,398,
NGC 4236,0.34,  ,0.7, ,0.026, ,0.17, ,-14.37,L ,36.39,L ,       , ,124,u
NGC 4242,0.45,u ,0.45,u,0.27,u,0.27,c,-15.66,b ,36.17,b ,1.1,b,   ,
NGC 4244,0.29,  ,0.25, ,0.026,u,0.22, ,-14.41,  ,36.65,  ,3.95, ,137,u
NGC 4245,0.48,b ,0.41, ,0.038,u,0.7, ,-14.3,  ,37.75,  ,1.55, ,122,
